case,pressure_datum_z_m,upstream_head_m,free_surface_z_m,mesh_min_z_m,expected_peak_pa,realized_peak_at_mesh_min_pa,realized_to_expected_ratio,max_tension_mpa,max_compression_mpa,stress_summary_path,sif_path
datum_0p0m_head_25p0m,0.0,25.0,25.0,4.0,245250.0,206010.0,0.84,9.411939040484269,-4.214436718002519,results_sweep/datum_0p0m_head_25p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_0p0m_head_25p0m.sif
datum_0p0m_head_27p0m,0.0,27.0,27.0,4.0,264870.0,225630.0,0.8518518518518519,12.774800330425538,-6.177455407571025,results_sweep/datum_0p0m_head_27p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_0p0m_head_27p0m.sif
datum_0p0m_head_29p0m,0.0,29.0,29.0,4.0,284490.0,245250.0,0.8620689655172413,16.05242059858379,-8.097129492415807,results_sweep/datum_0p0m_head_29p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_0p0m_head_29p0m.sif
datum_0p0m_head_31p0m,0.0,31.0,31.0,4.0,304110.0,264870.0,0.8709677419354839,20.067123336774507,-10.425197034884128,results_sweep/datum_0p0m_head_31p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_0p0m_head_31p0m.sif
datum_2p0m_head_25p0m,2.0,25.0,27.0,4.0,245250.0,225630.0,0.92,12.774800330425538,-6.177455407571025,results_sweep/datum_2p0m_head_25p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_2p0m_head_25p0m.sif
datum_2p0m_head_27p0m,2.0,27.0,29.0,4.0,264870.0,245250.0,0.9259259259259259,16.05242059858379,-8.097129492415807,results_sweep/datum_2p0m_head_27p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_2p0m_head_27p0m.sif
datum_2p0m_head_29p0m,2.0,29.0,31.0,4.0,284490.0,264870.0,0.9310344827586207,20.067123336774507,-10.425197034884128,results_sweep/datum_2p0m_head_29p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_2p0m_head_29p0m.sif
datum_2p0m_head_31p0m,2.0,31.0,33.0,4.0,304110.0,284490.0,0.9354838709677419,24.836048152584937,-13.177071706825453,results_sweep/datum_2p0m_head_31p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_2p0m_head_31p0m.sif
datum_4p0m_head_25p0m,4.0,25.0,29.0,4.0,245250.0,245250.0,1.0,16.01776196121373,-8.09545086551495,results_sweep/datum_4p0m_head_25p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_4p0m_head_25p0m.sif
datum_4p0m_head_27p0m,4.0,27.0,31.0,4.0,264870.0,264870.0,1.0,20.03307173774407,-10.423628760252495,results_sweep/datum_4p0m_head_27p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_4p0m_head_27p0m.sif
datum_4p0m_head_29p0m,4.0,29.0,33.0,4.0,284490.0,284490.0,1.0,24.802544275770956,-13.175585236079298,results_sweep/datum_4p0m_head_29p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_4p0m_head_29p0m.sif
datum_4p0m_head_31p0m,4.0,31.0,35.0,4.0,304110.0,304110.0,1.0,29.59649533928292,-15.938384917690016,results_sweep/datum_4p0m_head_31p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_4p0m_head_31p0m.sif
datum_6p0m_head_25p0m,6.0,25.0,31.0,4.0,245250.0,264870.0,1.08,19.97858874026486,-10.413176032617923,results_sweep/datum_6p0m_head_25p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_6p0m_head_25p0m.sif
datum_6p0m_head_27p0m,6.0,27.0,33.0,4.0,264870.0,284490.0,1.0740740740740742,24.749036431628898,-13.165331531910535,results_sweep/datum_6p0m_head_27p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_6p0m_head_27p0m.sif
datum_6p0m_head_29p0m,6.0,29.0,35.0,4.0,284490.0,304110.0,1.0689655172413792,29.543666281533845,-15.928259747623839,results_sweep/datum_6p0m_head_29p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_6p0m_head_29p0m.sif
datum_6p0m_head_31p0m,6.0,31.0,37.0,4.0,304110.0,323730.0,1.064516129032258,34.35192154028564,-18.69664153708508,results_sweep/datum_6p0m_head_31p0m/stress_summary.json,calibration_sweeps/sif_cases/dam_model_datum_6p0m_head_31p0m.sif
