element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.4770785109865572,78.16430325275651,29.7578124913889,-6131.703799094798,-6573.918082748856,-27104.040869152046,187.87578143965644,4014.1538134701923,15633.270203017724,-35851.19817858946,-6637.333880480421,2678.8693080741873,-24210.307789491882,-1529.3747165371994,16543.996956710133
2,0.49232476849164786,79.38393475196757,29.75781249069877,-5664.479990589142,-6568.973551858296,-26627.525077461367,58.13038049848834,786.4897546115016,20866.346029695917,-39509.34266080655,-6572.091509449174,7220.455550346913,-27734.61557142049,1305.826311344901,34702.947922536965
3,0.5075711428944083,80.60356599715631,29.757812490716482,-6132.55063526897,-6925.869816468245,-28042.959938469794,-96.52295681279647,-4363.765958358789,18917.996245598966,-39379.619869380265,-6928.477204634254,5206.716683807501,-27617.18919433116,1065.3302977223134,33341.678298847684
4,0.5228172602567859,81.82319724699052,29.757812491374963,-5495.12601749409,-5770.075129102507,-23799.888434515113,-175.32804451313535,-2199.9752100779447,7959.45105277818,-26965.644898275168,-5842.1150709002895,-2257.329611936269,-24210.36429888368,-1875.56622547016,14797.948541432557
5,0.47704203248901383,78.16137388321948,29.773437474044282,-5830.808673843327,-7023.2584744373,-30352.89581472725,549.4619168997019,5548.962244530149,21175.29341262934,-43133.118200634926,-7217.662053935206,7143.817291562261,-24622.601832406373,-1798.0110372085524,15623.552543486037
6,0.49231268005120743,79.3829583808125,29.773437471688183,-3554.393524718098,-6186.448123951758,-25742.25022538642,168.44588284347535,-1816.9522428985788,20634.780817351322,-38161.05341664808,-6143.174706985242,8821.136249577054,-29052.48494948032,631.6627930154812,33513.96622802998
7,0.5075834282863328,80.60454249158238,29.77343747177092,-4699.547599078888,-7131.711538935864,-29617.226091085904,-291.4687363952028,-6318.913813525481,16421.63519128761,-38745.52290959382,-7035.935688487545,4332.9733689807,-28839.06384832857,447.93047984492335,32260.109232525563
8,0.5228539053702539,81.8261267410402,29.773437474039028,-3542.4343708363913,-4469.537448860754,-20109.54842926798,-542.2622795562651,-71.16799937442576,1040.6567033378512,-20174.749016165042,-4710.820089888066,-3235.9511429120166,-24507.8698208121,-2070.600685726715,14096.133093646711
9,0.4770054280839058,78.15844463855683,29.789062456484288,-5595.5433872730155,-7514.094700635482,-33682.28773316928,911.040965314159,6674.949511954342,25898.5065218042,-49761.78780738065,-7838.636977010749,10808.498963313607,-24911.070514737636,-2024.1824227506677,14870.452615986735
10,0.4923004657488037,79.38198200946618,29.789062451940477,-1471.7754005181346,-5803.12674402371,-24874.019024966372,274.0145210160652,-3962.6429706684435,20266.495421904245,-36984.06104789139,-5584.49494397454,10419.63482235773,-30069.125951177073,57.10953513375149,32489.459787922988
11,0.5075957128657579,80.60551898624686,29.789062452140907,-3170.9240056827944,-7216.56609770069,-30723.805389727404,-479.8502379759592,-7869.722008243501,14188.070306775295,-38341.00525474057,-6823.164267161912,4052.874028791616,-29779.686635794926,-80.64100246588526,31312.422014312946
