element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.22296750264460424,77.83646025074331,29.87695299777526,-6554.740298230995,-6776.314537301583,-27479.153235870894,84.56177923817259,4124.07852243716,14437.262906994136,-35311.248848160845,-6804.2804303296925,1305.3212070870761,-25963.569287565082,-2173.5227873704544,15090.351346837197
2,0.2306835044756879,78.45372175079557,29.876952997548067,-6757.424979797352,-7203.731556325842,-29116.78140517738,58.91226262389277,2806.1721034478232,21036.136020623908,-41922.119331111106,-7211.371258042875,6055.552647853415,-30484.802453246564,410.3919762431041,32679.21748156513
3,0.2383997552641934,79.0709833752386,29.876952997502123,-6792.387071309151,-7293.31055273456,-29575.329155397252,16.735525074246073,550.7162502364993,23749.945354111434,-44530.038877843646,-7293.818080196387,8162.830178599078,-31430.63476618984,1843.0568067177358,40726.174472893865
4,0.2461160054071897,79.68824449984962,29.876952997486075,-6817.690660384466,-7307.026591342794,-29651.989965390367,-13.509936509175189,-1016.0492483147227,23750.243954549722,-44606.29999995991,-7307.288614062242,8136.881396904507,-31757.939979007835,2063.9783006662587,42131.46767116819
5,0.2538320050921672,80.30550574958495,29.876952997509324,-6782.866686533007,-7219.578465316984,-29274.341416195763,-31.461124902796794,-2071.082577793315,21987.07911974661,-42810.858642785315,-7221.6168741955025,6755.688948935075,-31172.382968202306,1536.8549258440353,38898.8732726676
6,0.26154825445556545,80.92276712439585,29.876952997561585,-6713.588044900123,-7074.258854628271,-28628.113696686196,-44.59965172533271,-2859.7710058954945,18833.637443730277,-39645.598459583845,-7079.376516342081,4309.014379711327,-29938.04418564358,492.91782357364724,32449.598135187185
7,0.26926450354870674,81.54002862416084,29.876952997621462,-6664.249252355299,-6936.115403971722,-27960.054432608224,-56.487801924019195,-4052.8822756531767,14560.045053565034,-35797.908529028704,-6945.794305953048,1183.2837460465075,-28704.291196992584,-1096.5214757232798,23312.844456360544
8,0.2769805020809324,82.15729012442448,29.87695299779846,-6126.578716496782,-6230.163987647478,-25203.95273847687,-59.798011183904926,-1628.7782146529141,7084.030468434916,-27655.753005793325,-6251.411358426417,-3653.5310784013964,-25264.711989171286,-3167.512507298493,9378.580230279082
9,0.22295675786919703,77.83560587721149,29.880859243323293,-6479.369118729151,-7073.416073669081,-29338.440094349007,243.20477977876052,5519.899390516038,19074.21510605733,-40799.24165202971,-7157.514895526432,5065.531260808904,-25933.862170556313,-2262.2124702958154,14612.189102661032
10,0.2306758883328689,78.45311150236287,29.88085924262412,-5800.470513207475,-7051.42119288316,-29027.717996969215,168.00352785494502,1277.8816909863701,22463.65568588897,-42730.547842182554,-7066.8173480032065,7917.755487125931,-30598.903996498906,163.3350695801693,31839.91484400181
