element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.22296750180231825,77.83646025048425,29.876952998607404,-6611.09075047875,-6877.1124042963265,-27881.190587861365,81.1550175101065,4174.821771442932,15580.082171341026,-36561.28630428128,-6899.871030182917,2091.7635918277683,-27524.15147781867,-1866.4221040073412,18198.67635756026
2,0.23068350278029104,78.4537217504535,29.876952998531255,-6757.633011265162,-7220.109010705431,-29200.272924635778,56.853450553962844,2636.9707020054843,21739.716539841455,-42583.723743658804,-7226.9956028406505,6632.704399893087,-30546.274497273436,745.286270762922,34412.11433222013
3,0.238399753233284,79.07098337512245,29.876952998493326,-6806.437116440809,-7319.4163235599635,-29692.836069918707,13.62170193475263,401.7512967396711,24225.780076076036,-45045.00709676577,-7319.727930599171,8546.04551744547,-31731.65179007862,2037.81783164139,41999.36960676429
4,0.24611600328923425,79.68824449989586,29.87695299848755,-6827.542163916814,-7323.228037052351,-29727.397556452204,-15.23567665154167,-1097.5880937743934,24048.425685937706,-44935.0561764329,-7323.587554974177,8380.475973985705,-31938.236479670228,2184.927236739271,42913.562130334
5,0.2538320030894783,80.30550574974774,29.876952998502556,-6788.808952847941,-7230.10515246687,-29324.51764993443,-31.857625050874205,-2076.829928889299,22233.529946765353,-43068.24112677918,-7232.192093860785,6957.00146539071,-31305.11861200298,1629.0279362682463,39489.870815915514
6,0.26154825271421195,80.92276712464215,29.876952998531475,-6740.382153326686,-7106.69332692928,-28765.490262579773,-43.77072018373935,-2814.773954540167,19165.910969147244,-40034.695880703024,-7111.550925008273,4533.6810628755475,-30115.71195366567,591.5247275860028,33117.451054288504
7,0.26926450217412684,81.54002862450994,29.876952998580126,-6580.657057372053,-6858.337833722968,-27658.66001738581,-55.919213009126146,-3931.126797455831,14876.662128458218,-35768.04876346749,-6867.872058973972,1538.2659139606346,-28564.827697043635,-897.5958326414956,24164.399365400794
8,0.2769805013920049,82.15729012463618,29.876952998625804,-6553.423991661016,-6679.662596992362,-26998.514710908064,-55.688152962845464,-1908.2608279005524,8519.048262020233,-30216.91820485385,-6697.527657422392,-3317.1554372852092,-26563.123319858172,-3065.7013409841634,11186.973870997295
9,0.22295675536358495,77.83560587643974,29.880859245818858,-6110.969639221858,-6828.58420480918,-28347.06806352862,232.15218029478268,5114.981347815721,19302.121880606534,-40066.50250723551,-6896.492988138934,5676.3735878147945,-27516.424803819955,-1982.4666084958437,17629.012243617653
10,0.23067588328160596,78.45311150134651,29.880859245580957,-5828.984463654323,-7125.207262285053,-29373.948039799463,162.17435882322744,1129.0753879709375,23136.30629265123,-43581.804481836996,-7138.298149325831,8391.962865423975,-30664.872948430482,489.3767109989941,33526.49987099984
11,0.2383952596273401,79.07061712536365,29.88085924546654,-5579.273498288035,-7050.850279386081,-29384.22202217488,39.412742552033095,-588.7231712635008,23837.776864927586,-44133.188586141376,-7048.2204502175055,9167.063236509899,-31814.81362451204,1776.5274645192744,40931.29348772945
12,0.24611450979447658,79.68812237469064,29.88085924544868,-5534.200516883569,-6992.272134125936,-29245.630381951385,-45.01261611788052,-1673.3581920163515,22527.008574542495,-42901.563442649385,-6991.085216011625,8120.5456257001315,-32023.73565307665,1932.000035522086,41834.11012608999
13,0.25383350920097797,80.30562774925134,29.880859245494864,-5513.246167805318,-6847.053038860264,-28611.748059356978,-95.43050296252106,-2377.064275030755,20139.79729676231,-40399.218420343925,-6851.137708112763,6278.30886243413,-31386.3092878227,1399.8367962075,38503.223741651425
14,0.26155275808545375,80.92313324893736,29.88085924558417,-5597.767399468602,-6738.234636712136,-28011.00195166488,-133.32174585789113,-3002.7783601416895,16642.305203184915,-37089.26494036675,-6749.24942344811,3491.5103759692383,-30184.721155141713,396.6555523660953,32300.02788153599
15,0.26927213148148477,81.54063887354526,29.880859245731948,-5578.736500863217,-6471.1819925154505,-26622.570741963238,-173.3678289600809,-4320.109912451546,11992.759017393913,-32628.12286052605,-6481.773930342631,437.4075555267704,-28647.811281306822,-1065.554353140859,23580.85605300647
16,0.2769912541471094,82.15814449891772,29.88085924587774,-5889.260939898294,-6323.3683402340275,-26181.333348601944,-173.89791463725308,-335.36423112779687,4704.2830368403365,-27222.89687622225,-6358.22467253555,-4812.841079976467,-26520.14746290321,-3105.322685975252,10857.384431111946
17,0.2229460088378022,77.83475150236883,29.884765743025284,-5651.669498797441,-6810.958896070876,-28916.415859796103,380.6406574609357,5932.178398658908,22707.544708752666,-43447.13391750367,-6923.156983265631,8991.246646104877,-27461.68669474482,-2086.3506902219806,17081.45599781462
18,0.23066813866229852,78.45250125221132,29.88476574260801,-4898.947984104101,-7012.48617554194,-29469.453630971235,264.25609077377214,-239.16357018268945,24313.53088261725,-44428.38747924655,-7009.940412207212,10057.44010083649,-30705.041546867476,253.9651192995109,32656.460266775783
