element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.47707850736777885,78.16430325194793,29.757812494621206,-6076.675624534461,-6598.0463861383305,-27191.06935610347,193.76336481587853,4345.533686482331,16817.43974656062,-36945.63323442764,-6659.4036578043415,3739.2455254557167,-25714.70842901576,-1263.1648173078156,19438.22242741901
2,0.4923247616772008,79.38393475117168,29.757812494495724,-5569.635724149146,-6525.056212878925,-26483.07501303085,59.8233732684418,715.9947005034632,22012.463595104542,-40405.946363851865,-6527.966555645038,8356.145969437986,-27582.865251465155,1922.4297044432226,37652.4384176154
3,0.5075711362496423,80.6035659982158,29.757812494509317,-5920.158837727047,-6752.702620024095,-27385.684183261445,-104.39687102852078,-4516.244832131987,19740.367786506653,-39570.710550667565,-6757.051175588542,6269.216085243529,-27432.996044351647,1630.860376129355,35996.576752477085
4,0.5228172568390288,81.82319724791095,29.757812494602412,-5959.038503514451,-6289.460084046157,-25867.759807927967,-177.65766759536115,-2908.9366226854913,9503.249558726997,-29969.419262966127,-6361.138301703705,-1785.7008308187455,-25727.632562153383,-1691.2582798760195,17271.054463587487
5,0.47704202180597866,78.16137388078963,29.773437483763395,-5232.607929314756,-6647.175509559451,-28809.36782179057,563.2245816738457,5455.97419943019,21847.42516494338,-42389.976033511004,-6830.019150168392,8530.843923014596,-26246.49439909305,-1600.3979277799824,18399.44367365744
6,0.4923126597504727,79.38295837845659,29.77343748322089,-3481.212989667044,-6260.653498406015,-26129.8667728831,173.2115006364414,-1987.4314598051365,21833.551369353656,-39497.41877588554,-6213.158078881249,9838.843593810632,-28978.74949213745,1194.6176253075685,36307.45335791705
7,0.507583408489847,80.60454249472534,29.773437483281082,-4292.1309272807375,-6843.751084131686,-28575.760537646634,-314.60196839884384,-6458.811957106364,16969.91737956682,-38304.92937049054,-6751.6214798110195,5344.908301242499,-28726.257523706947,969.5788996928399,34787.83621248472
8,0.5228538952592716,81.82612674379777,29.773437483735727,-4343.838338676019,-5448.476579851582,-24009.6101398764,-551.1768859688076,-1058.0718760389398,3019.943751709393,-24511.777361962715,-5675.19537146025,-3614.9523249810377,-26107.343992015492,-1938.2782142753715,16451.813722131752
9,0.47700541066299124,78.1584446345059,29.789062472729885,-4506.050533129954,-6786.481003693738,-30709.18918994111,930.6244188117474,6233.3881611477855,26108.24263448406,-47393.94407375777,-7086.888679688614,12479.112026681583,-26607.98174171438,-1883.9103593284767,17520.74966651129
10,0.4923004322533692,79.38198200561769,29.789062471462287,-1404.9179969594384,-5976.539242884855,-25719.76317186003,281.0639930708923,-4209.631034911621,21493.46674025092,-38693.10223154066,-5746.497498921979,11338.379318758314,-30069.80184723915,571.4281298230244,35143.73268975441
11,0.5075956801992912,80.6055189913982,29.78906247160403,-2583.4576542989016,-6826.022188431848,-29349.110078602233,-516.7107301918791,-7983.422303783352,14510.97365799126,-37376.6959575011,-6427.131904651119,5045.2379408192355,-29732.578212932873,400.51266675155756,33719.202260449085
12,0.5228906581722255,81.82905623983045,29.78906247274547,-2670.2411508118553,-4527.036014430552,-21753.259932647306,-921.7294425738379,464.6269446361988,-2679.0647125726855,-22128.614478986958,-4889.029288649616,-1932.8933302531366,-26344.46075556553,-2146.8518384415347,15743.245664445089
