element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.3179061352531706,78.76415930170819,29.854166360348756,-8325.957781811225,-93823.46802793248,-78819.24700589548,159957.49980536447,-230221.4983199972,1137038.532597787,-1247538.7618334442,-29225.278971179214,1095795.3679889846,-29949.266055801283,-9824.116124085776,104971.80358125572
2,0.34869951474810185,81.22750747590315,29.8541663608864,6413.093478397279,-54307.243664917696,-30491.663969268753,-162649.48310716514,-136816.98783441546,-1131636.051070119,-1183483.821302848,-14995.345910118922,1120093.3530571775,-29579.921347813182,-9107.000741970955,109088.6479949968
3,0.31784102524582314,78.75895141254999,29.895832812960503,-9782.75228864119,-94546.72190325148,-88188.88652340785,161286.31445382128,-162053.4341937956,820354.3177943685,-932623.0374634983,-32228.945845810464,772333.6225940081,-27830.003750706528,-13018.437370307358,105653.9893403793
4,0.3487646556940285,81.23271536535574,29.89583281246954,9763.42046251358,-50139.49838490313,-20817.152526499223,-163944.17349550704,-93763.23315769005,-815482.5087622622,-861925.2606603259,-12492.02131485028,813224.0515262873,-27369.808681417362,-12141.23848132931,109845.70494413754
5,0.31777591402492106,78.7537434056675,29.93749951545455,-8334.017141579254,-92934.34338939533,-84947.49931831226,162730.463589879,-97497.2671576727,497426.2354208178,-610003.5234953281,-33930.89861922478,457718.56226526614,-25288.589564123755,-15344.427531148825,106231.8525248109
6,0.3488297951325421,81.23792324765179,29.937499514041676,9871.121369976696,-49759.557072906806,-23095.941831175456,-165362.3162901072,-54002.3376488223,-493228.38060904096,-548177.3523657534,-14281.617084841957,499474.5919164897,-24972.263878301124,-14411.820596764506,110480.0879011116
7,0.3177108014910799,78.74853540555489,29.979166218478262,-3940.3178150275126,-88881.82890205065,-68853.39089534784,164304.53506372517,-34505.97768460179,168388.20911355456,-300328.6296235835,-44535.503711243524,183188.59572240096,-22706.208779167137,-16935.62318335075,106795.94010015677
8,0.348894808026462,81.24313124828437,29.97916621608861,6562.67710513623,-53270.220148771055,-37954.878200630956,-166913.87543190565,-15753.237889581485,-164885.571424045,-264657.6854784688,-29730.885303757314,209726.14953796027,-22625.513113577872,-15970.712691929843,111030.51528986072
9,0.9849609306519146,78.79228167790312,29.56249949957946,-9667.530333379444,-106955.42249927731,-104858.47364014594,219476.14098922856,-96938.21082038108,529248.8510693109,-674824.0605513079,-37642.149776992854,490984.783855498,-42971.524269401205,-10859.547597208093,140127.46125400587
10,1.0148427630176782,81.18271884463323,29.562499511797377,17128.725277135774,-30074.727312933544,-20603.22247550556,-225599.00152397953,-14270.216510324633,-508024.7390453722,-564396.6303684739,-17908.8779767733,548756.283833944,-40073.97060809319,-9595.587155925588,147826.7045466422
11,0.9847656741722219,78.77665786551916,29.68749932054776,-8684.583575680692,-103218.31756523359,-113326.93577329341,226676.16545595025,-69959.96628007146,391603.4318893401,-550888.2526884974,-44929.45749484477,370587.8732691344,-35721.287672480525,-13218.133194601716,145367.2514081638
12,1.0150382605719628,81.198342646102,29.68749933006841,24647.053803454237,-18609.82515816738,-4466.802950744684,-232721.86600376363,-902.2755938540342,-374214.8664921599,-433345.18360545766,-13847.197527101574,448762.8068271015,-33649.101828811996,-12188.699878925947,152977.16953792184
13,0.9845704014924457,78.7610339685176,29.81249914807714,-4910.470254952983,-99593.77003381745,-105700.44317617426,233550.74769064132,-48180.89255200246,243302.24778377233,-422980.2150447259,-54381.179528700544,267156.71110848174,-30490.29188758221,-16231.899163504158,149332.7483038581
14,1.015233738303307,81.21396628698105,29.812499154150697,25857.327409496167,-16466.51669935214,-8167.184236682524,-239632.23653549305,7657.458536284355,-230142.7117803627,-322125.2908259963,-19792.222575699034,343141.1398751569,-28706.818106034887,-15052.386648017708,156871.66494972672
15,0.9843751106301176,78.74541023278279,29.937498980187673,1873.3635633116173,-95523.7079761196,-81433.93463185517,240688.88714606006,-27667.521726771523,85596.01009210142,-317129.1606983311,-65262.39584720171,207307.27750086965,-26128.31587071355,-20050.063391869975,152566.20962524042
16,1.0154290697892079,81.22959014651076,29.937498983356416,21075.14523412471,-22938.050051357302,-30846.542401338036,-246886.60146961416,14323.691781775411,-76981.81503624743,-256690.19229866483,-38204.51271703112,262185.25779712526,-24458.40808873367,-18499.033622639727,160051.22021534847
17,1.6484526338248753,78.82045965202813,29.27083246863464,-6606.510515461974,-142778.36019655838,-135900.2876402358,287635.74434859736,-94055.86899520541,416729.9763691207,-635835.4215614002,-52384.888732981126,402935.15194212506,-51342.84217935076,-8259.687393308612,196488.168966808
18,1.6845508723102793,81.137874352988,29.270832511435756,34330.18742518736,-5122.98369142825,-12638.007947912476,-300297.4044889889,22468.401870408692,-399989.70376522426,-477421.7721829168,-29382.595728046843,523373.5636968103,-50657.05643670932,-9527.373781084369,197155.40188028108
19,1.6480296071497285,78.79442137905252,29.47916559378524,-6321.332049796834,-131167.9498677663,-145538.0268656859,302624.2823681685,-71294.60922083924,319163.68781411514,-559593.5040763702,-66773.79931772275,343339.99461084366,-41986.464784055715,-10448.70453287104,204263.49119758606
20,1.6849742558260976,81.1639126086201,29.47916563279026,44325.755988667486,17452.93875000789,11668.779436664594,-312910.935269166,32288.94284776374,-295366.90788245277,-384655.41687580664,-17840.73542442512,475943.62647557165,-39942.07560192102,-10917.035948399182,206017.24931579904
21,1.6476066181490312,78.76838321901135,29.687498488102786,-1246.6802445971807,-126178.80508109547,-133632.83586073207,315364.99480456236,-58688.33955324142,204278.63945264183,-479203.43278510997,-77487.26356392918,295632.3751626143,-35808.85088643141,-11765.105010133524,211725.03121708025
22,1.6853976390571082,81.18995062866873,29.68749852703056,45740.58201133463,20950.97018610451,7034.646432073755,-325241.59858640266,37027.097913122016,-180554.08859085906,-324888.12524398754,-21019.199851106147,419633.5237246067,-33866.51159344585,-11918.831921123181,213690.11600773293
23,1.647183623693933,78.74234527451006,29.895831396179716,7518.473875525295,-125896.3384506143,-101508.66851724,328546.88929297676,-46235.440973955934,76687.13022350731,-417069.91528232885,-81333.08310995591,278516.4652999557,-29667.437040357996,-15883.55937351322,219535.61655231426
24,1.685821120323672,81.21598868971392,29.895831437565302,38887.613475517464,8600.350747342418,-24370.06832329346,-339023.83305919153,38971.44672838239,-58030.52100964081,-316118.7633321736,-35753.56908580496,374990.2283175449,-29029.836012615182,-15955.301192785784,220530.59910054813
25,2.138444724618379,78.8477673762873,28.979165753869204,-83420.00995200832,-368166.6775072932,-231714.20895046013,678503.0131400314,-175257.3463063213,683077.7947818234,-1264083.6251833355,-124933.13202299338,705715.8607965676,-46709.196231214424,-5936.847114636941,233920.76330603083
26,2.1943291294495015,81.09181804298751,28.979165800457068,22178.036087767185,20101.370854907014,11528.62889990592,-682014.8357721467,58073.27398111551,-665241.3489534307,-905006.8154294931,-42346.41078428128,1001161.2620563544,-54666.15899531546,-9769.482697975523,224259.37576215522
27,2.137500933779914,78.81132163366327,29.270831665181923,-82678.36836484863,-321949.4354529636,-268296.3776410053,735119.5845359352,-148401.61907095058,542370.4979450896,-1195262.5317840306,-145388.38788780465,667726.7382130176,-40066.74711928832,-6464.351092179422,258354.32416139968
28,2.19527334305379,81.12826381402988,29.27083170117312,47195.68671979629,90275.81284736819,68375.07551580374,-719982.2075031182,91452.94412680862,-494242.9753922802,-767821.4147190202,-9913.51730648261,983581.5071084711,-43968.803396294315,-11389.247964946975,242401.79505998257
29,2.136557477671231,78.77487620145197,29.56249782512833,-74611.54705715834,-307645.858885256,-249697.07160549183,772423.7532692043,-143696.8345112303,352322.1992132514,-1108669.911386008,-150628.17229318802,627343.6061312897,-34289.35781441701,-4571.984799156158,272197.94305210566
30,2.1962176492978602,81.16470923707207,29.56249787706468,50325.66340098613,102536.64907412241,64031.033014860164,-751027.1591890157,110341.50290975368,-300665.61150695407,-702417.6665285383,-6404.128276917976,925715.1402954252,-37196.61246588625,-8759.04880148475,255522.26808347256
