element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.31790331884422107,78.76415903632795,29.85416669238701,-102.66125933290641,-27708.32870766256,-14258.234410723711,54024.304714021644,-74538.64598972326,384104.34380297316,-412880.4235661791,-6651.562117970563,377462.76130643056,-8142.427738955751,-1893.120804130798,35679.29227145676
2,0.3486966975882499,81.2275080027057,29.854166692038675,151.0308254800011,-21031.883248972466,-15199.056247042976,-54635.19958007034,-50448.46669551813,-380094.3303493135,-402169.70370632503,-6593.627336306206,372683.4223720959,-7970.4752575342445,-1765.0711354311875,36701.91151880521
3,0.3178382020131847,78.75895115635034,29.89583318085381,-738.3073510100567,-28164.631149463385,-18441.30475653777,54492.36620067009,-52267.49484541726,277310.92492591374,-307430.6519108643,-7802.9303645179025,267889.339018371,-6651.514731201105,-2291.778695023412,36036.77985391634
4,0.34876183108375897,81.2327158826516,29.89583318022852,2107.5127950467404,-18879.896844581926,-9069.81970317745,-55097.029567847625,-34810.84645022893,-273919.6102306552,-292197.4018566101,-4934.9410152848795,271290.1391191824,-6493.581263668186,-2172.0462027063413,37115.58136105536
5,0.31777308444889496,78.75374315375963,29.937499920265935,-544.6579969656368,-27962.394885081947,-18900.60193890419,54989.59607273487,-31257.721031259767,168413.65122388292,-199808.57479362618,-8448.980667802723,160849.90064047714,-5373.4538315468135,-2221.729300071403,36442.34568701197
6,0.34882696387263024,81.23792376025189,29.93749991935028,3031.9969294926696,-17925.977637931595,-6673.231243484694,-55584.77332509485,-20280.27861603855,-165459.8572409948,-184577.93236165936,-4447.089628870788,167457.81003860652,-5175.476180852043,-2141.4486676850215,37553.359023458914
7,0.31770796632606063,78.74853515336414,29.97916666074928,564.5584455874296,-27000.590569665947,-15306.956589703317,55515.29773601942,-10832.983182972685,57447.31950750621,-97383.48226976529,-10462.721424224377,66103.21498020783,-4574.094129156948,-1434.734344419063,36872.34010153162
8,0.34889197110890335,81.24313176068198,29.97916665953506,2872.5750634317083,-18203.710845419617,-8229.664817722576,-56098.661912512944,-6270.627550821991,-54815.18644027761,-87763.67362117651,-6796.236330563126,70999.10935202916,-4315.514418889443,-1421.674838160327,37997.45496565191
9,0.9849567764362374,78.7922815908956,29.56249983042371,-3714.570816210192,-33104.19836954406,-34052.76491402361,72877.6315170157,-29696.13679886311,177570.38673120452,-224039.9334941046,-12279.768304856967,165448.1676991837,-14333.629062438782,-3513.080651686002,45750.57007321676
10,1.0148386563798009,81.18271948179391,29.562499829762693,4102.630042813997,-12853.253732002186,-7980.051676817739,-73787.67314409245,-7240.473350364476,-164730.7061428628,-185909.66706152668,-6621.935520281036,175800.9272158018,-13660.176000758145,-3252.34413753188,48072.734905331585
11,0.9847614612689303,78.77665782235866,29.68749977556163,-2628.8580855801283,-31550.85409394842,-35432.256590778445,75803.0858731162,-21495.19463622671,132638.6816642482,-182940.03334137538,-13945.71695379902,127273.78152486736,-10937.348480433207,-3425.0850608563014,48555.495240888406
12,1.0150340911586477,81.1983432475094,29.687499773259095,7348.854855397755,-8801.126766032658,-903.8311198086653,-76753.9092613472,-2398.264426529497,-121936.9122511182,-143280.11086142555,-4385.687791354818,145309.69562233673,-10264.88246621493,-3170.254698112931,50870.78857659525
13,0.9845661392125837,78.76103394201928,29.812499727602294,-574.7111555794954,-29986.809424582305,-31170.53499481894,78643.80657424922,-15021.47443102099,83383.18799987058,-139902.50051200177,-15548.194498983994,93718.63943600503,-8225.577718666304,-3114.2069281288555,50868.52695716381
14,1.0152295187803515,81.21396687621029,29.812499723769193,8546.175925387059,-7777.065017473832,-232.57620770603808,-79637.53815029284,1083.5356282801517,-75034.45040968231,-106950.51746209062,-4845.671468430167,112332.723630728,-7555.864639107568,-2874.794833722239,53172.102511789446
15,0.9843708086746171,78.74541019801595,29.937499686574277,2473.34442466169,-28186.415912534943,-21162.498719053663,81538.48586471505,-8960.162520222293,30279.686842730534,-104280.46498636263,-16117.769734735222,73522.66451417095,-6609.684085210553,-2027.9978819040373,52921.2999826667
